id,mdl,category,sta,sta_s,ata,ata_s,cost_300,cost_900,cost_1800,cost_3600
0,A332,Heavy,07:00:00,25200,07:06:08,25568,1.57,2.28,3.79,8.13
1,B744,Heavy,07:00:00,25200,07:18:22,26302,2.37,3.42,5.58,11.79
2,A343,Heavy,07:01:00,25260,07:01:00,25260,1.63,2.39,3.94,8.42
3,A343,Heavy,07:04:00,25440,07:04:00,25440,1.63,2.39,3.94,8.42
4,B744,Heavy,07:08:00,25680,07:08:00,25680,2.37,3.42,5.58,11.79
5,B738,Medium,07:10:00,25800,07:02:41,25361,0.83,1.28,2.1,4.38
6,A343,Heavy,07:11:00,25860,07:11:00,25860,1.63,2.39,3.94,8.42
7,B744,Heavy,07:13:00,25980,07:13:00,25980,2.37,3.42,5.58,11.79
8,XXXX,Light,07:15:00,26100,07:15:00,26100,0.12,0.19,0.33,0.75
9,A333,Heavy,07:15:00,26100,06:47:12,24432,1.57,2.31,3.79,8.04
10,A320,Medium,07:15:00,26100,06:58:20,25100,0.83,1.25,2.02,4.19
11,B77W,Heavy,07:15:00,26100,07:24:08,26648,2.97,4.37,7.09,14.74
12,A333,Heavy,07:19:00,26340,07:19:00,26340,1.57,2.31,3.79,8.04
13,B77W,Heavy,07:19:00,26340,07:19:00,26340,2.97,4.37,7.09,14.74
14,B772,Heavy,07:20:00,26400,07:20:00,26400,1.83,2.68,4.41,9.35
15,A320,Medium,07:20:00,26400,07:10:55,25855,0.83,1.25,2.02,4.19
16,A320,Medium,07:20:00,26400,07:06:16,25576,0.83,1.25,2.02,4.19
17,XXXX,Light,07:21:00,26460,07:21:00,26460,0.12,0.19,0.33,0.75
18,XXXX,Light,07:22:00,26520,07:22:00,26520,0.12,0.19,0.33,0.75
19,XXXX,Light,07:23:00,26580,07:23:00,26580,0.12,0.19,0.33,0.75
20,A318,Medium,07:25:00,26700,07:17:16,26236,0.74,1.09,1.78,3.73
21,B738,Medium,07:25:00,26700,07:13:24,26004,0.83,1.28,2.1,4.38
22,A321,Medium,07:30:00,27000,07:21:20,26480,0.93,1.42,2.37,4.97
23,B744,Heavy,07:30:00,27000,07:30:00,27000,2.37,3.42,5.58,11.79
24,A320,Medium,07:35:00,27300,07:26:31,26791,0.83,1.25,2.02,4.19
25,A320,Medium,07:35:00,27300,07:24:07,26647,0.83,1.25,2.02,4.19
26,A319,Medium,07:35:00,27300,07:24:29,26669,0.73,1.12,1.8,3.68
27,XXXX,Light,07:38:00,27480,07:38:00,27480,0.12,0.19,0.33,0.75
28,A321,Medium,07:40:00,27600,07:34:24,27264,0.93,1.42,2.37,4.97
29,XXXX,Light,07:40:00,27600,07:40:00,27600,0.12,0.19,0.33,0.75
30,B744,Heavy,07:42:00,27720,07:42:00,27720,2.37,3.42,5.58,11.79
31,B77W,Heavy,07:44:00,27840,07:44:00,27840,2.97,4.37,7.09,14.74
32,B744,Heavy,07:45:00,27900,07:49:59,28199,2.37,3.42,5.58,11.79
33,B77W,Heavy,07:46:00,27960,07:46:00,27960,2.97,4.37,7.09,14.74
34,A319,Medium,07:50:00,28200,07:42:15,27735,0.73,1.12,1.8,3.68
35,A320,Medium,07:50:00,28200,07:34:56,27296,0.83,1.25,2.02,4.19
36,XXXX,Light,07:54:00,28440,07:54:00,28440,0.12,0.19,0.33,0.75
37,CRJ7,Medium,07:55:00,28500,07:44:58,27898,0.41,0.61,1.0,2.11
38,XXXX,Light,07:57:00,28620,07:57:00,28620,0.12,0.19,0.33,0.75
39,XXXX,Light,07:59:00,28740,07:59:00,28740,0.12,0.19,0.33,0.75
40,E145,Medium,08:00:00,28800,07:48:52,28132,0.3,0.45,0.73,1.55
41,A319,Medium,08:00:00,28800,07:48:27,28107,0.73,1.12,1.8,3.68
42,B77W,Heavy,08:01:00,28860,08:01:00,28860,2.97,4.37,7.09,14.74
43,B772,Heavy,08:02:00,28920,08:02:00,28920,1.83,2.68,4.41,9.35
44,B772,Heavy,08:02:00,28920,08:02:00,28920,1.83,2.68,4.41,9.35
45,XXXX,Light,08:04:00,29040,08:04:00,29040,0.12,0.19,0.33,0.75
46,A320,Medium,08:05:00,29100,08:04:54,29094,0.83,1.25,2.02,4.19
47,B772,Heavy,08:07:00,29220,08:07:00,29220,1.83,2.68,4.41,9.35
48,A333,Heavy,08:10:00,29400,08:01:27,28887,1.57,2.31,3.79,8.04
49,XXXX,Light,08:10:00,29400,08:10:00,29400,0.12,0.19,0.33,0.75
50,B737,Medium,08:10:00,29400,08:11:32,29492,0.89,1.31,2.13,4.44
51,A319,Medium,08:10:00,29400,07:52:11,28331,0.73,1.12,1.8,3.68
52,CRJX,Medium,08:10:00,29400,07:58:29,28709,0.35,0.51,0.85,1.84
53,XXXX,Light,08:14:00,29640,08:14:00,29640,0.12,0.19,0.33,0.75
54,AT45,Medium,08:15:00,29700,08:44:30,31470,0.26,0.38,0.61,1.27
55,B77W,Heavy,08:15:00,29700,08:19:18,29958,2.97,4.37,7.09,14.74
56,B744,Heavy,08:15:00,29700,08:15:00,29700,2.37,3.42,5.58,11.79
57,A343,Heavy,08:19:00,29940,08:19:00,29940,1.63,2.39,3.94,8.42
58,CRJX,Medium,08:20:00,30000,07:57:24,28644,0.35,0.51,0.85,1.84
59,B738,Medium,08:20:00,30000,08:02:48,28968,0.83,1.28,2.1,4.38
60,B772,Heavy,08:20:00,30000,08:20:00,30000,1.83,2.68,4.41,9.35
61,XXXX,Light,08:21:00,30060,08:21:00,30060,0.12,0.19,0.33,0.75
62,B77W,Heavy,08:24:00,30240,08:24:00,30240,2.97,4.37,7.09,14.74
